document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
A cognitive model of human thinking,C. Guangzuo; Wei Xuefeng; Lili Wang Boling,"Research Centre of Thinking Training, Faculty of Education Beijing Normal University; Research Centre of Thinking Training, Faculty of Education Beijing Normal University; Research Centre of Thinking Training, Faculty of Education Beijing Normal University",2011 Seventh International Conference on Natural Computation,19 Sep 2011,2011,2.0,,992,996,"This paper, based on findings in brain organization and cognitive neuroscience, proposed a more low-level and plausible architecture of human cognition, called CAUT, which can demonstrate the diagram and mechanism of human thinking. Comparing with existing models, three changes are made: (1) a pathway called inner loop is added from motor controller to thalamus; (2) a memory controller is added in front of long-term declarative memory, which can judge whether the memory operation is retrieval or not; (3) two new modules, Active Object buffer (AO) and Active Action buffer, are separated out of the general working memory model. With CAUT architecture, a dynamic cognitive model is put out with which typical thinking processes can be interpreted and described more precisely. Problem solving are demonstrated with this model, and two typical problems, decision problem and search problem, are interpreted. Experiments with ACT-R indicate that CAUT is consistent with ACT-R in functional level, and the description can be easily transformed into ACT-R model, and CAUT architecture can be taken as a meta-description and design tool to construct cognitive model. Experiments with ACT-R also indicate the effectiveness of CAUT architecture.",2157-9563,978-1-4244-9953-3,10.1109/ICNC.2011.6022208,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6022208,Cognitive architecture;Cognitive model;Human thinking,Speech;Humans;Computer architecture;Brain modeling;Computational modeling;Cognition;Presses,,2.0,,26.0,IEEE,19 Sep 2011,,,IEEE,IEEE Conferences,4,3
Analysis and Implementation of Human Control Thinking Process,P. Wang,"School of Computer Science and Engineering, Yantai University, Yantai, China","The Proceedings of the Multiconference on ""Computational Engineering in Systems Applications""",30 Jul 2007,2006,2.0,,2146,2150,"Human control thinking process maybe classified as two kinds which are active control thinking process and passive control thinking process. The control methods and strategy of each control thinking process are discussed in this paper, the storage and mining of control experiences are analyzed. The test results are given in this paper, it is proved that the research content is right and could be used in the process control. It provides the basis for Human-like intelligent control to be used in complex system",,7-302-13922-9,10.1109/CESA.2006.4281993,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281993,Computer Control;Intelligent Control;Human-like Intelligent Control;Human thinking,Humans;Process control;Control systems;Intelligent control;Artificial intelligence;Computational modeling;Computer simulation;Systems engineering and theory;Application software;Computer science,,2.0,,5.0,,30 Jul 2007,,,IEEE,IEEE Conferences,3,3
A Design Thinking Process Model for Capturing and Formalizing Design Intents,Z. Sun; J. Liu,"School of Mechanical Engineering and Automation, Beihang University, China; School of Mechanical Engineering and Automation, Beihang University, China",2008 International Symposium on Computational Intelligence and Design,22 Dec 2008,2008,2.0,,330,333,"This paper presents a design thinking process model that records not only the design procedure and decisions but also the design intents behind them. The design thinking process is evolved based on the interaction among design intents, operations and justifications. The taxonomy of design intents is explored. Based on different pairs of design intents and operations, segments of the design thinking process are identified. A design thinking process knowledge management prototype system is developed for modeling design thinking process. An example of the original design of an automatic teller machine (ATM) demonstrates how the design thinking process model is represented.",,978-0-7695-3311-7,10.1109/ISCID.2008.192,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725519,Design process;Design thinking process model;Design intent,Process design;Computational intelligence;Sun;Mechanical engineering;Design automation;Taxonomy;Knowledge management;Prototypes;Management information systems;Aerospace engineering,,5.0,,8.0,IEEE,22 Dec 2008,,,IEEE,IEEE Conferences,2,3
Learning and Control of Human-Like Thinking Process,P. -j. Wang,"School of Computer Science and Engineering, Yantai University, Yantai, China",2006 International Conference on Machine Learning and Cybernetics,4 Mar 2009,2006,,,850,854,"Human thinking is probably divided into three kinds: iconic imagery thinking, abstract logical thinking and afflatus thinking, but human control thinking process maybe classified as two kinds which are active control thinking process and passive control thinking process. The control methods and strategy of each control thinking process are discussed in this paper. The test results are given in this paper, it is proved that the research content is right and could be used in the process control. It provides the basis for human-like intelligent control to be used in complex system",2160-1348,1-4244-0061-9,10.1109/ICMLC.2006.258484,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4028181,Learning;Intelligent Control;Human-like Intelligent Control;Human thinking,Humans;Process control;Control systems;Intelligent control;Artificial intelligence;Computational modeling;Computer simulation;Computer science;Electronic mail;Testing,,4.0,,8.0,IEEE,4 Mar 2009,,,IEEE,IEEE Conferences,3,3
A Model of Computational Creativity based on Engram Cell Theory,Q. Li; B. Li,"Washinton Institute for Health Sciences, Arlington, VA, USA; Georgetown University Medical Center, Washington, DC, USA",2023 IEEE Conference on Artificial Intelligence (CAI),2 Aug 2023,2023,,,272,273,"Artificial Intelligence technology has made remarkable progress in machine learning, but it is still in its infancy in creative thinking or computational creativity. In 2018, Yang and Li proposed that the physiological basis for the formation of memories and concepts in the human brain is engram cells (interneuron), and creative thinking is the process of forming new engram cells to connect previously seemingly unrelated concepts. During this process, association and prediction play a key role. In this study, a computational model based on engram cell theory was coded in Python to mimic the process of creative thinking. The validity of the model was tested by simulating the phenomenon of language generation and summarizing the artificial food-set regularity in the plus maze. The results show that, given 29 initial words and certain grammatical rules, the language generation program generates 25,405 sentences after 130,000 calculations, and these generated sentences can be combined into various short paragraphs. After 50 times of training in the cross maze puzzle solving program, the model can master 100% of the rules of artificial food settings. In conclusion, a computational model of creative thinking based on engram cell theory can creatively and automatically generate sentences and paragraphs, and can learn and summarize laws to solve simple puzzles. We plan to further use this model to address complex real-world problems, such as the study of cancer therapeutic targets",,979-8-3503-3984-0,10.1109/CAI54212.2023.00121,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10195075,creative thinking;engram cell theory;computational model;language generation;puzzle solution,Training;Computational modeling;Machine learning;Brain modeling;Physiology;Creativity;Python,,,,5.0,IEEE,2 Aug 2023,,,IEEE,IEEE Conferences,4,3
Trends in the Use of Design Thinking for Embedded Systems,R. Araújo; E. Anjos; D. R. Silva,"Phoebus Technology, Joao pessoa, Paraiba, Brazil; DSC-Federal University of Paraiba, CISUC - University of Coimbra, Joao Pessoa, Paraiba, Brazil; DSC-Center for Informatics, Federal University of Paraiba, Joao Pessoa, Paraiba, Brazil",2015 15th International Conference on Computational Science and Its Applications,27 Jul 2015,2015,,,82,86,"The increasing complexity of embedded systems turned the requirements management in an even more dificulty task. In addition, there is a demand for innovative, customized and trendy systems. Design Thinking can minimize these problems throughout the development of Embedded Systems. The use of Design Thinking aims to understand the real users needs and generate innovative solutions for new systems. It can improve the requirement elicitation process and increase the quality of the final system. This paper approaches new trends in the use of design thinking during the whole development process of innovative embedded technologies.",,978-1-4673-7367-8,10.1109/ICCSA.2015.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7166170,Embedded Systems;Design Thinking;System Requirement;Software Engineering,Scientific computing,,6.0,,19.0,IEEE,27 Jul 2015,,,IEEE,IEEE Conferences,4,3
DMML: A Design Thinking Process Modeling Language,J. Liu; M. Zhang; X. Hu,"School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China",2011 12th International Conference on Computer-Aided Design and Computer Graphics,31 Oct 2011,2011,,,44,48,"Because design is an iterative and evolving process, recording and representing designer's thinking process plays an important role for design change and reuse. After giving a brief review of the previous related research, a design thinking process model is created for representing the design thinking process. Its knowledge structure consisting of design intent, design decision, design rationale and design operation is explained in detail. Based on the proposed model, a knowledge modeling language (Design Mental Modeling Language, DMML) is developed for expressing and reasoning the design thinking process explicitly. Semi-formal structure is used by DMML, which can improve both the expressiveness and computability of this language. A visual modeling system is developed for implementing DMML and an example is presented for illustration.",,978-1-4577-1079-7,10.1109/CAD/Graphics.2011.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062764,design thinking process;knowledge representation;modeling language;design intent,Computational modeling;Grammar;Unified modeling language;Cognition;Solid modeling;Computers;Visualization,,1.0,,9.0,IEEE,31 Oct 2011,,,IEEE,IEEE Conferences,2,3
Exploration research of thinking innovation based on PCST theory and knowledge graph,X. Huang; L. Wang; J. Ruan; S. Wu; D. Li,"School of Sports Engineering and Information Technology Wuhan, Sports University, Wuhan, P.R. China; National Laboratory of Aerospace Intelligent Control Technology, Beijing Aerospace Automatic Control Institute, Beijing, P.R. China; School of Information Engineering, Wuhan University of Technology, Wuhan, P.R. China; School of Automation, Huazhong University of Science and Technology, Wuhan, P.R. China; School of Automation, Huazhong University of Science and Technology, Wuhan, P.R. China",2018 Chinese Automation Congress (CAC),24 Jan 2019,2018,,,1040,1045,Thinking innovation is one of important driving forces to promote scientific and technological progress. Information technology can help humans to brainstorm as many potential ideas and methods as possible for given problems so as to inspire their creative thinking. Knowledge graph provides a structural method to storage human prior knowledge described by concepts and relationships between them in a graph way. The frame and models of Probability Construction Space Theory(PCST) explained the mechanism of human creative thinking and procedure of new ideas generation. Our research work explores generation of new potential methods of detecting and perception geophysical information through simulating the creative thinking of new ideas of aircraft guidance based on the combination of theory and technology of knowledge graph and PCST. One experiment software system has been built to verify feasibility of this novel cognitive model and simulation method presented in our research work.,,978-1-7281-1312-8,10.1109/CAC.2018.8623666,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8623666,thinking innovation;knowledge graph;cognitive model,Technological innovation;Software systems;Brain modeling;Cognition;Atmospheric modeling;Computational modeling;Sports,,1.0,,21.0,IEEE,24 Jan 2019,,,IEEE,IEEE Conferences,4,3
Computation method investigation on thinking route,Yan Cui; Xin-Rong Li; Jun-Tao Wang,"Computer Science and Engineering Department, North China Institute of AeroSpace and Engineering, Langfang, China; Computer Science and Engineering Department, North China Institute of AeroSpace and Engineering, Langfang, China; North China Institute of AeroSpace and Engineering, Langfang, China",2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE),20 Sep 2010,2010,6.0,,V6-146,V6-149,"On the basis of analysis to existing literatures by which the thinking problems are studied using mathematic method and according to nerve foundation of thinking of human brain, several concepts such as thinking map and thinking route are proposed in this paper by imitating neuron (a kind of chemical substance) transition procedures (routes) during thinking of human brain as maps in discrete mathematics. Number of thinking routes is calculated by means of digraph adjacency matrix theory in graph theory. After comparison, the results basically satisfy the thinking routes in reality.",2154-7505,978-1-4244-6542-2,10.1109/ICACTE.2010.5579404,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5579404,neuron;synapse;thinking map;thinking route;adjacency matrix,Mathematics,,,,7.0,IEEE,20 Sep 2010,,,IEEE,IEEE Conferences,4,3
Research on design sketch teaching from the view of creative thinking,Mingzhu Li; Zhangping Lu; Liqing Huang; Canqun He,"Department of Industrial Design, Jiangsu University, Zhenjiang, China; Department of Mechanical Engineering, Jiangsu University, Zhenjiang, China; Department of Industrial Design, Jiangsu University, Zhenjiang, China; Department of Industrial Design, Jiangsu University, Zhenjiang, China",2010 IEEE 11th International Conference on Computer-Aided Industrial Design & Conceptual Design 1,6 Jan 2011,2010,1.0,,321,324,"Design sketch is at the core of the product design process. How to use design sketch to express design concepts and develop creative thinking, is the key point in design sketch teaching. Firstly, the definition, classification and function of design sketch are explained. Secondly, its importance in the product design process is analyzed. Then design sketch is compared with computer rendering. The uncertainty of design sketch is presented to reveal its ambiguity. Thirdly, the relationship between the ambiguity of design sketch and creative thinking is discussed. Finally, the teaching points of design sketch are proposed from two aspects of presentation techniques and training contents. Appropriate drawing tools and techniques should be chosen according to the characteristics of different stages of the design process and progressive training should be insisted on, so that design sketch can really serve as a primer for the successive courses of product design.",,978-1-4244-7974-0,10.1109/CAIDCD.2010.5681346,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5681346,design sketch;creative thinking;ambiguity;design sketch teaching,Computational modeling;Three dimensional displays;Shape;Universal Serial Bus;Solid modeling;Visualization,,,,5.0,IEEE,6 Jan 2011,,,IEEE,IEEE Conferences,2,3
