document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
"Integrating Mathematical Thinking, Abstract Thinking, and Computational Thinking",K. McMaster; B. Rague; N. Anderson,"Saint Mary''s College of Maryland, USA; Weber State University, USA; Winona State University, USA",2010 IEEE Frontiers in Education Conference (FIE),23 Dec 2010,2010,,,S3G-1,S3G-6,"In recent years, several groups of Computer Science educators have made a sustained effort to capture the essence of CS apart from programming. Three of these approaches are Mathematical Thinking, Abstract Thinking, and Computational Thinking. Each approach tries to clarify areas of CS that are not directly tied to writing computer programs. In a separate line of research, the current authors have been examining different ways to teach mathematics to CS students. We developed a Computational Math scale that measures the level of problem-solving gestalt exhibited by textbook authors. In this study, we relate our Computational Math framework to current research on Mathematical, Abstract, and Computational (MAC) Thinking. We counted words used frequently in research articles and compared them to words that form the Computational Math scale. Our results suggest an overall MAC Thinking framework that integrates a wide range of topics relevant to computing and programming.",2377-634X,978-1-4244-6262-9,10.1109/FIE.2010.5673139,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5673139,Abstraction;Algorithm;Computational Math;Model;Thinking,Computers;Computational modeling;Programming profession;Books;Mathematical model,,10.0,,25.0,IEEE,23 Dec 2010,,,IEEE,IEEE Conferences,6,9
Computer Science Unplugged for Developing Computational Thinking and Mathematical Thinking,T. Nakamura; T. Kawasaki,"Graduate School of Education, Gifu university, Gifu, Japan; Faculty of Education, Gifu University, Gifu, Japan","2019 International Joint Conference on Information, Media and Engineering (IJCIME)",16 Apr 2020,2019,,,305,308,"The purpose of this study is to make learning material that can develop both Computational thinking and Mathematical thinking. This study suggest a hamburger flowchart as a teaching material that combines the three elements of ""unplugged"", ""thinking from the end "" and ""mathematics class"". Using this flowchart, basic experiment was conducted for 8 to 12 years old. The purpose of this experiment is to confirm whether it is possible for children to develop both Computational thinking and Mathematical thinking by using the hamburger flowchart. We evaluated both Computational thinking and Mathematical thinking from the state in this class and the content of the worksheet and prior and subsequent tests. As a result, the state related to Computational thinking and Mathematical thinking increased, and the correct answer rate of many children increased from the prior test to the subsequent test. Therefore it turned out that the hamburger flowchart affects mathematical thinking.",,978-1-7281-5586-9,10.1109/IJCIME49369.2019.00108,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066359,21st-century-skills;Computational-thinking;Mathematical-thinking;thinking-from-the-end,Flowcharts;Programming profession;Tools;Education;Sugar;Toxicology,,3.0,,6.0,IEEE,16 Apr 2020,,,IEEE,IEEE Conferences,6,7
Mapping computational thinking mindsets between educational levels with cognitive network science,M. Stella; A. Kapuza; C. Cramer; S. Uzzo; V. Latora,"CogNosco Lab, Department of Computer Science, University of Exeter, Stocker Road EX4 4PY, UK and Complex Science Consulting, Via Amilcare Foscarini 2, 73100 Lecce, Italy; m.stella@exeter.ac.uk; National Research University Higher School of Economics, Myasnitskaya 20, 101000 Moscow, Russian Federation; Woods Hole Institute, Woods Hole, MA, USA; New York Hall of Science, Corona, NY, USA; NA",Journal of Complex Networks,18 Jan 2022,2021,9.0,6.0,1,13,"A significant aspect of computational thinking is as a way of reasoning about the world in terms of data. This mindset channels number-crunching toward an ambition to discover knowledge through logic, models and simulations. Here we show how computational cognitive science can be used to reconstruct and analyse the structure of computational thinking mindsets (forma mentis in Latin) through complex networks. As a case study, we investigate cognitive networks tied to key concepts of computational thinking provided by (i) 159 high school students enrolled in a science curriculum and (ii) 59 researchers in complex systems and simulations. Researchers' reconstructed knowledge highlighted a positive mindset about scientific modelling, semantically framing data and simulations as ways of discovering nature. Students correctly identified different aspects of logic reasoning but perceived ‘computation’ as a distressing, anxiety-eliciting task, framed with math jargon and lacking links to real-world discovery. Students' mindsets around ‘data’, ‘model’ and ‘simulations’ critically revealed no awareness of numerical modelling as a way for understanding the world. Our findings provide evidence of a crippled computational thinking mindset in students, who acquire mathematical skills that are not channelled toward real-world discovery through coding. This unlinked knowledge ends up being perceived as distressing number-crunching expertise with no relevant outcome. The virtuous mindset of researchers reported here indicates that computational thinking can be restored by training students specifically in coding, modelling and simulations in relation to discovering nature. Our approach opens innovative ways for quantifying computational thinking and enhancing its development through mindset reconstruction.",2051-1329,,10.1093/comnet/cnab020,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684795,computational thinking;cognitive network science;mindset reconstruction;education,,,,,,,18 Jan 2022,,,OUP,OUP Journals,6,4
Fostering computational thinking skills with a tangible blocks programming environment,T. Turchi; A. Malizia,"Human Centred Design Institute, Brunel University London, United Kingdom; Human Centred Design Institute, Brunel University London, United Kingdom",2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),10 Nov 2016,2016,,,232,233,"Computational Thinking has recently returned into the limelight as an essential skill to have for both the general public and disciplines outside Computer Science. It encapsulates those thinking skills integral to solving complex problems using a computer, thus widely applicable in our technological society. Several public initiatives such as the Hour of Code successfully introduced it to millions of people of different ages and backgrounds, mostly using Blocks Programming Environments like Scratch that lower the barriers of programming and facilitate learning. In this paper we present our arguments for fostering Computational Thinking skills using a Blocks Programming Environment augmented with a Tangible User Interface, namely by exploiting objects whose interactions with the physical environment are mapped to digital actions performed on the system. Our demonstration includes a working prototype implementing our Tangible Blocks Programming Environment called TAPAS.",1943-6106,978-1-5090-0252-8,10.1109/VLHCC.2016.7739692,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7739692,Computational Thinking;Tangible User Interface;End-User Programming,Programming environments;Visualization;Programming profession;Encoding;Concrete,,13.0,,13.0,IEEE,10 Nov 2016,,,IEEE,IEEE Conferences,6,7
Assessment of Computational Thinking in regular basic education: case I.E.T.P. “José Obrero”,R. P. Curasma; N. J. Jara; H. P. Curasma; V. C. Ornetta,"Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor, de San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú","2019 IEEE XXVI International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",3 Oct 2019,2019,,,1,4,"In regular basic education environments, one of the challenges of Computer and Computing courses or similar is to motivate students, who perceive programming as a difficult task. Arduino board is recognized as a tool to improve programming skills and to facilitate teamwork. In this paper, Computational Thinking is evaluated through concepts, practices and computational perspectives of the activities carried out with the Arduino board by the 5th-grade students of secondary education of the “José Obrero” Parochial Technical Educational Institution in the district of San Mateo from the province of Huarochirí of Lima region.",,978-1-7281-3646-2,10.1109/INTERCON.2019.8853613,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8853613,Computational thinking;computational dimensions;Arduino;programming;coding;regular basic education,Education;Programming profession;Tools;Encoding;Computational modeling,,,,22.0,IEEE,3 Oct 2019,,,IEEE,IEEE Conferences,6,7
Educational Robotics and Computational Thinking Development in Preschool,A. Gerosa; V. Koleszar; L. Gómez-Sena; G. Tejera; A. Carboni,"Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay",2019 XIV Latin American Conference on Learning Technologies (LACLO),13 Feb 2020,2019,,,226,230,"Programming robots playing with the environment is an ongoing research project aimed at developing a robot and intervention program capable of enhancing young children's cognitive abilities and computational thinking skills. Using a robot sensitive to color and distance, children are able to use everyday objects in order to interact with it and program its movements. An eleven session intervention program using this robot was designed with the objective of creating playful learning instances were children would practice abilities associated with what is generally thought of as computational thinking. We'll assess children's computational thinking, fluid intelligence, working memory, planning, sequencing, number recognition and magnitude comparison, vocabulary, mental rotation, inhibitory control and cognitive flexibility to test for cognitive effects of the intervention. An active control in which children interact with the robot by remotely controlling it was used.",,978-1-7281-4286-9,10.1109/LACLO49268.2019.00046,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995066,computational thinking;educational robotics;early childhood,Robots;Robot sensing systems;Color;Computational modeling;Robot kinematics;Motors;Silicon,,5.0,,,IEEE,13 Feb 2020,,,IEEE,IEEE Conferences,6,7
The Development and Challenges of Computational Thinking Board Games,S. -Y. Wu,"Department of Science Communication, National Pingtung University, Pingtung, Taiwan",2018 1st International Cognitive Cities Conference (IC3),9 Dec 2018,2018,,,129,131,"The promotion of computational thinking education has become a worldwide trend. To cultivate the computational thinking ability of children at young age, many computational thinking board games have appeared recently. This article introduces five computational thinking board games, including Robot Turtles, King of Pirates, Doggy Code, ROBOT WARS Coding Board Game, and Code master, and then to analyze its characteristics respectively. Additionally, this article also points out the current limitations and challenges of computational thinking board games. We hope more schools or operators will join the development of computational thinking education in the future.",,978-1-5386-5059-2,10.1109/IC3.2018.00-45,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8567181,"computational thinking, board game, coding, game-based learning",Games;Education;Programming profession;Robots;Encoding,,6.0,,11.0,IEEE,9 Dec 2018,,,IEEE,IEEE Conferences,6,7
Computational thinking leads to computational learning: Flipped class room experiments in linear algebra,S. Se; Ashwini B; A. Chandran; Soman K.P,"Centre for Excellence in Computational Engineering and Networking, Coimbatore; Centre for Excellence in Computational Engineering and Networking, Coimbatore; Centre for Excellence in Computational Engineering and Networking, Coimbatore; Centre for Excellence in Computational Engineering and Networking, Coimbatore","2015 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)",13 Aug 2015,2015,,,1,6,The latest concept evolving in pedagogy is flipped class room where class room is utilized for active learning by students with their peers and faculty. This necessitates development of new syllabus and pedagogy for each subject for class room activities. This paper attempt to propose spreadsheet based experiments in linear algebra that can be used to learn many abstract concepts that are very important for mastering many engineering disciplines. There is vast amount of evidence showing that the computational experiments support active learning and develop exploratory and inventive skill of students.,,978-1-4799-6818-3,10.1109/ICIIECS.2015.7193021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7193021,Flipped class room computational thinking;Linear algebra;Spread sheet,Eigenvalues and eigenfunctions;Matrix decomposition;Conferences;Technological innovation;Communication systems;Singular value decomposition,,10.0,,8.0,IEEE,13 Aug 2015,,,IEEE,IEEE Conferences,6,7
Fostering Computational Thinking and Systems Thinking through Aquaponics Capstone Projects,A. K. Ng; R. Mahkeswaran,"Engineering Cluster, Singapore Institute of Technology, Singapore; Engineering Cluster, Singapore Institute of Technology, Singapore","2021 IEEE International Conference on Engineering, Technology & Education (TALE)",24 Jan 2022,2021,,,1039,1044,"In today's world of growing complexity and interconnectedness, computational thinking (CT) and systems thinking (ST) are imperative for everyone to solve complex problems, create advanced solutions, and innovate cutting-edge technologies and systems. Traditional teaching approaches for CT and ST offer limited avenues for applying the knowledge and skills learned in class. This paper presents and discusses the design and development of intelligent aquaponics capstone projects to foster CT and ST in undergraduate students. Specifically, students designed and built an automated aquaponics system with internet of things for real-time remote monitoring and control. Aquaculture and hydroponics subsystems, hardware and software components, communication networks, and data acquisition and analysis of fish and plant growth were integrated and tested, with high yield and quality of fish and vegetables. Attributable to the multidisciplinary and multifaceted high-tech aquaponics system, students can broaden and deepen their theoretical understanding and practical experience of CT and ST.",2470-6698,978-1-6654-3687-8,10.1109/TALE52509.2021.9678854,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678854,computational thinking;systems thinking;aquaponics;urban farming technology;capstone project,Education;Writing;Fish;Real-time systems;Software;Reflection;Systems thinking,,6.0,,26.0,IEEE,24 Jan 2022,,,IEEE,IEEE Conferences,6,8
Exploring the Relationship Between Computational Thinking and Personality Traits,W. Zhang; L. Song; X. Zeng; P. Li,"Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China",2023 5th International Workshop on Artificial Intelligence and Education (WAIE),18 Apr 2024,2023,,,101,105,"To better understand the impact of students' personality on their computational thinking (CT), this paper develops a CT evaluation tool for college students. Correlation analysis is used to explore the relationship between students' computational thinking skills (CTS) and their five personality traits: extraversion, agreeableness, conscientiousness, neuroticism, and openness. 219 college students completed the CT Assessment Test and the Big Five Personality Inventory. The results showed that there were statistically significant correlations between CTS and extraversion, conscientiousness, and openness, among which openness had the greatest impact on CTS, and extraversion and conscientiousness had moderate effects on CTS. These results are consistent with the conclusions of most related literatures, confirming the existence of non-cognitive influencing factors of CT. Based on these findings, this paper recommends that teachers can pay attention to the individual differences of students from the perspective of personality, and provide them with suitable education to comprehensively improve students' CTS.",,979-8-3503-0706-1,10.1109/WAIE60568.2023.00026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496968,computational thinking;personality traits;Big Five model;computational thinking evaluation,Correlation;Conferences;Computational modeling;Education;Artificial intelligence,,,,15.0,IEEE,18 Apr 2024,,,IEEE,IEEE Conferences,6,6
