document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
The Teaching Mode and Practice Analysis of College Computer Basic Course Based on Computational Thinking,C. Xue; W. Zhun,"Department of Computer Science and Engineering, Guangzhou College of Technology and Business, Guangzhou, China; Department of Computer Science and Engineering, Guangzhou College of Technology and Business, Guangzhou, China",2020 13th International Conference on Intelligent Computation Technology and Automation (ICICTA),13 Sep 2021,2020,,,266,269,"This paper mainly adopts the theory with practice, combines the computational thinking method with education and teaching, and constructs the inquiry teaching model based on computational thinking. We adopt the formal teaching model and learning model, incremental expression of computational thinking ability to improve the effect, from the computational thinking of automation, abstract characteristics of the teaching and learning model based on computational thinking formalization. Then, in the case study, the learning support technology scheme of MOOC course platform combining mobile terminal and HTML5 is designed. Through teaching practice and quantitative analysis of experimental behavior, the platform effectively avoids the interference of programming language code, which simplifies the expression and application process of algorithm thinking, and enhances students' interest and operation of programming working ability.",,978-1-7281-8666-5,10.1109/ICICTA51737.2020.00063,Guangdong Province “Research and Practical Exploration on the Reform of Computer Basic Teaching Mode Combined with Innovation Ability and Computational Thinking”(grant numbers:20191206); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526726,computational thinking;practice analysis;computer basic teaching;HTML;MOOC,Computer languages;Computer aided instruction;Automation;Electronic learning;Codes;Statistical analysis;Computational modeling,,1.0,,8.0,IEEE,13 Sep 2021,,,IEEE,IEEE Conferences,7,5
A Study of Micro:bit Teaching Design Based on the Development of Computational Thinking of Secondary School Students,J. Liu; X. Xia; Y. Bai; P. Liu,"Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Nanjingshi Yuanshengxiang elementary school, Nanjing, China",2022 4th International Conference on Computer Science and Technologies in Education (CSTE),15 Dec 2022,2022,,,198,201,"With the rapid development of human society and technology, it's necessary for contemporary students to have the ability to quickly adapt to social development. Meanwhile, traditional educational concepts have to be transformed in time, and a full understanding of computational thinking plays an important role in promoting students' life-long development. Based on in-depth analysis and research on computational thinking theory, this paper integrates micro: bit into teaching from the perspective of practical application. After analyzing the teaching objectives, teaching contents, and teaching process, this paper proposes an instructional design for the development of computational thinking for secondary school students.",,978-1-6654-8188-5,10.1109/CSTE55932.2022.00043,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973092,computational thinking;micro:bit;instructional design,Visualization;Technological innovation;Knowledge acquisition;Education;Focusing;Market research;Computational efficiency,,1.0,,24.0,IEEE,15 Dec 2022,,,IEEE,IEEE Conferences,7,6
Computational Thinking & Practical Thinking Inspired Java Web Curriculum Reform Method,F. Yu; H. Wang,"School of Information Science and Engineering, Shandong Normal University; School of Information Science and Engineering, Shandong Normal University",2019 10th International Conference on Information Technology in Medicine and Education (ITME),23 Jan 2020,2019,,,312,316,"Both Computational thinking and Practical thinking are important concepts of great concern to the international computer community. They are also hot topics needed to be studied in education. Inspired by these two kinds of thinking, we expound how to better carry out teaching practice. The teaching process is task-oriented, teacher-led and student-centered. In the whole teaching process, teachers use the way of integrating computational thinking with practical thinking to prepare courses, design tasks and guide students to complete learning tasks. Compared with the traditional teaching mode, the teaching mode of integrating computational thinking and practical thinking has made great progress in training students' computer practical ability and innovation ability. It can not only improve learning efficiency, but also train students' computer practical ability. Finally, the feasibility and efficiency of this method are verified by Java Web course design.",2474-3828,978-1-7281-3918-0,10.1109/ITME.2019.00078,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964889,Computational Thinking;Practical Thinking;Java Web,Java;Task analysis;Programming;Software;Training;Information technology,,3.0,,10.0,IEEE,23 Jan 2020,,,IEEE,IEEE Conferences,7,5
Teaching mode reform and exploration on the University Computer Basic based on Computational thinking training in Network Environment,Boqin Liu; Junmei He,"Faculty of Computer and Information Science, Southwest University, Chongqing, China; Faculty of Computer and Information Science, Southwest University, Chongqing, China",2014 9th International Conference on Computer Science & Education,16 Oct 2014,2014,,,59,62,"Due to the international and domestic education and computer industries and so on computational thinking attaches great importance and has done considerable exploratory research, our school also reform and exploration teaching mode on the University Computer Basic based on Computational thinking training in network environment, and the use of based on Computational thinking Autonomous learning mode in the Network Environment in the actual teaching, strengthen the learners understanding of computer science, corrected the computing disciplines equivalent to the idea of computer programming, enhance the connotation and science significance of computer disciplines, to overcome the computer means “narrow tool” argument,and achieved good teaching results.",,978-1-4799-2951-1,10.1109/ICCSE.2014.6926430,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926430,Computational thinking;The Network teaching auxiliary platform;Autonomous learning mode,Educational institutions;Microcomputers;Computational modeling;Indexes;HTML,,2.0,,8.0,IEEE,16 Oct 2014,,,IEEE,IEEE Conferences,7,5
CS for ALL: Introducing Computational Thinking with Hands-On Experience in College,A. Jung; J. Park; A. Ahn; M. Yun,"Department of Computer Science, Framingham State University, Framingham, MA; Department of STEM Education & Teacher Development, University of Massachusetts Dartmouth, Dartmouth, MA; E-Service IR LLC, Tempe, AZ; Department of Computer Science and Networking, Wentworth Institute of Technology, Boston, MA",2017 International Conference on Computational Science and Computational Intelligence (CSCI),6 Dec 2018,2017,,,1073,1078,"CS for ALL is a new education initiative launched in 2016 to empower a generation of American students with the computer science skills they need to thrive in a digital economy. In order to keep up with trends in the growing technology-driven world, students should have the ability to analyze and consider the consequences of computing problems critically. However, introducing CS and computational thinking skills to the first year students in college is a difficult task because the nature of the subject tends to be dry and conceptual. Thus, we introduce a computer science course that helps all undergraduate students to prepare for digital life as well as enhance their critical thinking skills through hands-on learning experiences. The course contents introduce the general concept of computer science such as computing system, basic networking, algorithms and programming with Scratch and mBot robot exercises. Our student feedback shows a high level of enthusiasm and engagement among the students. The strong hands-on learning nature of the course helped our students to have more engaging and interactive classroom experiences.",,978-1-5386-2652-8,10.1109/CSCI.2017.187,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560947,Computer Science Education;Computational Thinking;Hands-on;Robot programming,,,,,16.0,IEEE,6 Dec 2018,,,IEEE,IEEE Conferences,7,8
Research on group-based learning teaching mode to computational thinking ability development based on Blackboard system,Y. Wang; S. Li,"School of Information Engineering, Nanjing Xiaozhuang University, Nanjing, China; School of Information Engineering, Nanjing Xiaozhuang University, Nanjing, China","2021 International Conference on Education, Information Management and Service Science (EIMSS)",19 Nov 2021,2021,,,58,61,"Under the background of modern computer science education, the development of students' computational thinking ability and programming problem solving skills is the most important work. This paper researches on group-based learning teaching mode to computational thinking ability development based on Blackboard system, which explores a suitable learning way in terms of learner cognitive engagement and constructivist perspective using Blackboard system, and emphasizes the student's subject position in learning and the teacher's dominant position in teaching. It can also enhance the interaction between the teacher and the student, a positive teacher-student relationship facilitates affective learning, thus developing the educational process and making it more comfortable. This paper discusses the development of computational thinking ability and Blackboard system, and the current situation of the computer teaching. Then put forward the key elements of course content selection in computer science education, and designed a group-based learning teaching mode to computational thinking ability development based on Blackboard system.",,978-1-6654-2707-4,10.1109/EIMSS53851.2021.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603471,computational thinking;group-based learning teaching mode;computer science education,Computational modeling;Education;Collaboration;Computer science education;Information management;Problem-solving;Programming profession,,1.0,,9.0,IEEE,19 Nov 2021,,,IEEE,IEEE Conferences,7,8
Research and Application of Computational Thinking on Python Teaching,X. Wang; X. Zou; W. Yin; Q. Li; L. Zhang; L. Hong,"School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China; School of Media Engineering, Communication University of Zhejiang, Hangzhou, China",2021 IEEE 3rd International Conference on Computer Science and Educational Informatization (CSEI),19 Jul 2021,2021,,,311,314,"With the development of science and technology, the interdisciplinary knowledge penetration has become an important trend in the development of science and technology. Computational thinking is expanding from the field of computer science to other disciplines. The computational thinking is the focus of the information technology in science and engineering. Python teaching is widely used in programming courses in colleges and universities. The combination of theory and practice can stimulate students' initiative of independent innovation by teaching practice. It can effectively improve the effect and quality of computer thinking training.",,978-1-7281-8473-9,10.1109/CSEI51395.2021.9477758,Ministry of Education; Research and Development; National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477758,computational thinking;case teaching;python programming,Training;Technological innovation;Systematics;Electronic learning;Education;Market research;Online services,,,,6.0,IEEE,19 Jul 2021,,,IEEE,IEEE Conferences,7,5
Teaching research on the cultivation of computational thinking ability by using information technology,C. Xiaohong; L. Jie; M. Zhibin; X. Li,"College of Computer Science and Technology, Harbin Engineering University, Harbin, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China; College of Mechanical and Marine Engineering, Beibu Gulf University, Qinzhou, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China",2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),15 Sep 2021,2021,,,564,567,"Computational thinking ability is a very important, and it is a basic necessary skill for future talents. This paper describes the shortcomings of the current education of cultivating students’ computational thinking ability, analyzes the needs of cultivating students’ innovative ways of computational thinking in the information age, and expounds the necessity of innovative education and teaching. In this paper, the project driven teaching mode and the teaching method of computational thinking cultivation are proposed. The Small Private Online Course (SPOC) teaching method is used in the teaching practice, which is a kind of information technology method. Combined with project driven and SPOC teaching methods, the students' computational thinking ability is further cultivated. In the teaching practice, the information technology and project driven learning are made full use, which are two key factors in the information age, so the students’ computational thinking ability has been greatly improved, and the teaching effect is obvious.",,978-1-6654-2492-9,10.1109/ICAIE53562.2021.00125,Ministry of Education; Ministry of Education; Harbin Engineering University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534576,information technology;computational thinking;Innovation education;Project driven;Teaching practice,Training;Technological innovation;Education;Employment;Information age;Artificial intelligence,,1.0,,8.0,IEEE,15 Sep 2021,,,IEEE,IEEE Conferences,7,5
A Model of Cultivating Computational Thinking Based on Visual Programming,M. Xiao; X. Yu,"East China Normal University ECNU, Shanghai, China; East China Normal University ECNU, Shanghai, China",2017 International Conference of Educational Innovation through Technology (EITT),12 Mar 2018,2017,,,75,80,"The traditional information technology course focuses on the learning of programming tools and ignores the development of students' Computational Thinking. The emergence of visual programming tools provides a new opportunity for the training of Computational Thinking. On the basis of studying the limitations of thinking training in the traditional information technology class and the advantages of visual programming in computational thinking, this paper proposes a computational thinking training model based on visual programming. The model based on project adopt the combination of teaching plan and learning plan to design teaching and cultivate Computational Thinking. Applying this model to the actual teaching process by designing a teaching case based on the visual programming tool App Inventor, the experimental results show that the Computational Thinking of students in this model is improved in formalization and modeling. Through proposing this model and verifying its validity, we can provide the feasibility and research ideas for further studies by using visual programming to cultivate students' Computational Thinking.",,978-1-5386-0629-2,10.1109/EITT.2017.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308511,Computer Thinking;Visual Programming;Projectbased Learning,Visualization;Computational modeling;Tools;Training;Programming profession,,6.0,,9.0,IEEE,12 Mar 2018,,,IEEE,IEEE Conferences,7,5
Computational thinking and computer fundamental education,Lina Wang,"Shandong Institute of Business and Technology, Yantai, Shandong, China",2011 International Conference on Computer Science and Service System (CSSS),4 Aug 2011,2011,,,1158,1159,"Computer basic education with computer science, and other subjects crossover study, their status has become unshakable. Current international computer science. Today, an important concept widely concerned over the field of computer science calculation thinking. His definition, characteristics and development and basic computer education inseparable, especially for basic computer course teaching practice in an important role.",,978-1-4244-9763-8,10.1109/CSSS.2011.5974984,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5974984,computer fundamental education;Computational Thinking;teaching model,Computers;Education;Computer science;Computational modeling;Business,,1.0,,,IEEE,4 Aug 2011,,,IEEE,IEEE Conferences,7,5
