document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
"On Computational Tools, Computational Thinking and Computational Methods",X. Zhang; H. Zou,"Sch. of Comput. Sci. & Technol., Ludong Univ., Yantai; Sch. of Comput. Sci. & Technol., Ludong Univ., Yantai",2009 First International Workshop on Education Technology and Computer Science,26 May 2009,2009,1.0,,503,507,"The appearance and innovation of computational tools depends on human thinking and initiative, and on the other hand, human thinking is affected by computational tools. The strong function of computational tools in some aspect is superior to that of human brains. It is the application of such strong function that changes the face of human society. At the same time, it presents new methods for scientific research and new perspective for solving problems, promotes human thinking to a higher level, and presents new means for people to understand and change the world. The advantage of computational tools over human brains is the speed, while the initiative ability of human brains is not owned by computational tools. Perfect combination of thinking and computing gives birth to a series of achievements, and lays the foundation of science.",,978-1-4244-3581-4,10.1109/ETCS.2009.120,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4958823,computational tools;computational thinking;computational methods,Humans;Computer science;Biology computing;Computer science education;Educational technology;Technological innovation;History;Evolution (biology);Computational intelligence;Face,,3.0,,6.0,IEEE,26 May 2009,,,IEEE,IEEE Conferences,4,9
The AProS Project: Strategic Thinking & Computational Logic,W. Sieg,,Logic Journal of the IGPL,18 Jan 2018,2007,15.0,4.0,359,368,"The paper discusses tools for teaching logic used in Logic & Proofs, a web-based introduction to modern logic that has been taken by more than 1,300 students since the fall of 2003. The tools include a wide array of interactive learning environments or cognitive mini-tutors; most important among them is the Carnegie Proof Lab. The Proof Lab is a sophisticated interface for constructing natural deduction proofs and is central, as strategically guided discovery of proofs is the distinctive focus of the course. My discussion makes explicit the broader intellectual context, but also the pursuit of pedagogical goals and their experimental examination. The intellectual context includes i) the theoretical background for the proof search algorithm AProS and its use for a dynamic Proof Tutor, and ii) the programmatic expansion of the course to Computational Logic. (I recommend that the reader enter the virtual classroom of Logic & Proofs: the interactive components just cannot be properly reflected in a narrative. It is also very easy to download AProS and observe its ways of searching for proofs.) 1",1368-9894,,10.1093/jigpal/jzm026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8131700,introduction to logic;strategic thinking;automated proof search;dynamic proof tutor;Carnegie Proof Lab;Open Learning Initiative (OLI);intercalation calculus;natural deduction proof,,,,,,,18 Jan 2018,,,OUP,OUP Journals,4,7
Beyond Minecraft: Facilitating Computational Thinking through Modeling and Programming in 3D,A. Repenning; D. C. Webb; C. Brand; F. Gluck; R. Grover; S. Miller; H. Nickerson; M. Song,University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder,IEEE Computer Graphics and Applications,12 May 2014,2014,34.0,3.0,68,71,"Visual programming in 3D sounds much more appealing than programming in 2D, but what are its benefits? Here, University of Colorado Boulder educators discuss the differences between 2D and 3D regarding three concepts connecting computer graphics to computer science education: ownership, spatial thinking, and syntonicity.",1558-1756,,10.1109/MCG.2014.46,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6813968,Three-dimensional displays;Programming profession;Games;Solid modeling;Computational modeling;Educational institutions;conversational programming;Three-dimensional displays;Programming profession;Games;Solid modeling;Computational modeling;Educational institutions;graphics;3D programming;AgentSheets;AgentCubes;computational thinking;computer science education;computer graphics;3D design;computer programming;spatial thinking;syntonicity,Three-dimensional displays;Programming profession;Games;Solid modeling;Computational modeling;Educational institutions,,29.0,,4.0,IEEE,12 May 2014,,,IEEE,IEEE Magazines,4,10
Developing community-based engagement in smart cities: A design-computational thinking approach,C. -S. Lee; K. D. Wong,"Department of Computing and Information Systems, Sunway University, Malaysia; Daniel Wireless Software Pte. Ltd., Singapore",2017 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),12 Feb 2018,2017,,,832,836,"Smart Cities development has progressed rapidly with Internet of Things (IoT), ambient intelligence and increasingly, crowdsourcing. Engaging the community thus plays a key role in developing meaningful communal growth along with other stakeholders. This paper briefly presents a pilot study on developing computational perspectives for community-based engagement and innovations in Smart Cities for the young and thereafter, to explore possibilities of engaging seniors in self and community development, and the young and old in community-based engagement and possibly in the future, the development of viable values-based innovations in information systems.",2157-362X,978-1-5386-0948-4,10.1109/IEEM.2017.8290008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8290008,community engagement;service innovation and management;design thinking;computational thinking;Smart Cities,Technological innovation;Dementia;Games;Smart cities;Media;Information systems;STEM,,11.0,,25.0,IEEE,12 Feb 2018,,,IEEE,IEEE Conferences,4,10
Curriculum Design for Computational Thinking Training Based on Concept Map,C. Weiwei; L. Zhigang; B. Aihua; T. Yanqin,"Institute of Command Information System, PLA Univ. of Sci. and Tech., Nanjing, China; Institute of Command Information System, PLA Univ. of Sci. and Tech., Nanjing, China; Institute of Command Information System, PLA Univ. of Sci. and Tech., Nanjing, China; Institute of Command Information System, PLA Univ. of Sci. and Tech., Nanjing, China",2015 7th International Conference on Information Technology in Medicine and Education (ITME),10 Mar 2016,2015,,,413,416,"This paper mainly studies the features of problem theory, analyses the relationship between the problems and Bloom's taxonomy to train computational thinking, brings a method to construct problems using concept map. Then an instance of ""data structure"" curriculum is given, Our experience shows it is an effective way using the concept map to constructive teaching problems.",,978-1-4673-8302-8,10.1109/ITME.2015.58,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429178,computational thinking;concept map;problem-based teaching methods;data structure curriculum,Training;Taxonomy;Binary trees;Cognition;Problem-solving,,2.0,,6.0,IEEE,10 Mar 2016,,,IEEE,IEEE Conferences,4,5
A cognitive model of human thinking,C. Guangzuo; Wei Xuefeng; Lili Wang Boling,"Research Centre of Thinking Training, Faculty of Education Beijing Normal University; Research Centre of Thinking Training, Faculty of Education Beijing Normal University; Research Centre of Thinking Training, Faculty of Education Beijing Normal University",2011 Seventh International Conference on Natural Computation,19 Sep 2011,2011,2.0,,992,996,"This paper, based on findings in brain organization and cognitive neuroscience, proposed a more low-level and plausible architecture of human cognition, called CAUT, which can demonstrate the diagram and mechanism of human thinking. Comparing with existing models, three changes are made: (1) a pathway called inner loop is added from motor controller to thalamus; (2) a memory controller is added in front of long-term declarative memory, which can judge whether the memory operation is retrieval or not; (3) two new modules, Active Object buffer (AO) and Active Action buffer, are separated out of the general working memory model. With CAUT architecture, a dynamic cognitive model is put out with which typical thinking processes can be interpreted and described more precisely. Problem solving are demonstrated with this model, and two typical problems, decision problem and search problem, are interpreted. Experiments with ACT-R indicate that CAUT is consistent with ACT-R in functional level, and the description can be easily transformed into ACT-R model, and CAUT architecture can be taken as a meta-description and design tool to construct cognitive model. Experiments with ACT-R also indicate the effectiveness of CAUT architecture.",2157-9563,978-1-4244-9953-3,10.1109/ICNC.2011.6022208,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6022208,Cognitive architecture;Cognitive model;Human thinking,Speech;Humans;Computer architecture;Brain modeling;Computational modeling;Cognition;Presses,,2.0,,26.0,IEEE,19 Sep 2011,,,IEEE,IEEE Conferences,4,3
Scratching Out Problems: Exploring the Use of Computational Thinking for Social Work in Rural India,P. Anitha; S. K. Babu; U. R.; R. R. Bhavani,"Amrita Vishwa Vidyapeetham, AMMA CHI Labs, Amritapuri, India; Amrita Vishwa Vidyapeetham, AMMA CHI Labs, Amritapuri, India; Amrita Vishwa Vidyapeetham, Coimbatore, Tamil Nadu, IN; Amrita Vishwa Vidyapeetham, AMMA CHI Labs, Amritapuri, India",2018 IEEE Tenth International Conference on Technology for Education (T4E),27 Dec 2018,2018,,,16,19,"Technologies for development have great potential in accelerating the socio-economic progress of disadvantaged communities. But these technologies are usually developed by people removed from the daily realities of fieldwork. This paper explores the need and the possibilities of educating rural populations and social workers on the use of technology to create their own digital artifacts. We discuss two workshops, one for villagers in the state of Telangana and the second one for graduate students of a university social work department exploring the use of MIT's Scratch software as a tool for assisting in social interventions. We also discuss the results of an acceptability study among the social work students to gauge the potential for such a tool to be used in the field.",,978-1-7281-1143-8,10.1109/T4E.2018.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8590099,CHI for Development;Computational Thinking;Constructionism;Inclusive Education;Digital Fluency,Tools;Conferences;Education;Games;Sociology;Statistics;Software,,2.0,,20.0,IEEE,27 Dec 2018,,,IEEE,IEEE Conferences,4,10
Using Open Technology to Bring Computational Thinking Activities to the Outdoors,O. Adeyemi; B. Hui,"Computer Science, University of British Columbia, Kelowna, Canada; Computer Science, University of British Columbia, Kelowna, Canada",2023 IEEE International Conference on Advanced Learning Technologies (ICALT),29 Sep 2023,2023,,,187,189,"Many educational resources are available that teach children computational thinking and visual programming. As part of this initiative, we develop computational puzzles from well-known computational thinking activities. Inspired by the idea of geocaching, we made our puzzles accessible and fun for the whole family by embedding them into a scavenger hunt. We describe our approach that frames computational puzzles as an outdoor family activity. Our project was launched in 2021 and has received informal positive feedback.",2161-377X,979-8-3503-0054-3,10.1109/ICALT58122.2023.00060,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260830,Computational thinking;puzzles;blended learning;outdoors,Visualization;Programming profession,,,,10.0,IEEE,29 Sep 2023,,,IEEE,IEEE Conferences,4,7
Development of iOS Software n-Queens Problem for Education and Its Application for Promotion of Computational Thinking,Y. Sasaki; M. Fukui; T. Hirashima,"Faculty of Environment & Information Studies, Keio University, Fujisawa, Japan; Graduate School of Engineering, Hiroshima University, Higashi-Hiroshima, Japan; Graduate School of Engineering, Hiroshima University, Higashi-Hiroshima, Japan",2019 IEEE 8th Global Conference on Consumer Electronics (GCCE),27 Feb 2020,2019,,,563,565,"In this study, the authors develop an iOS software “n-Queens Problem for Education” and discuss its application in the promotion of computational thinking. As it has already been pointed out in [1] and [2], playing games and solving puzzles are effective in cultivating computational thinking, and our gaming software can be a good tool to cultivate skills regarding “Generalization (Pattern Recognition),” “Abstraction;' and “Algorithms” of computational thinking. Our software “n-Queens Problem for Education” is based on the well-known “The n-Queens Puzzle,” which involves solving a puzzle of placing eight chess queens on an n × n chessboard so that they do not attack one another. This puzzle is a good way for students to learn computational thinking. Since this software shows the queens' moves and evaluates solutions, you can concentrate on using your brain without writing down the moves or erasing wrong solutions. In addition, this software has features such as the symmetry operations of rotation and reflection of the board that help users study their solutions.",2378-8143,978-1-7281-3575-5,10.1109/GCCE46687.2019.9015331,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015331,Computational Thinking;iOS Application;n-Queens Problem;Algorithmic Thinking;Problem Solving Skills,Education;Software;Games;Pattern recognition;Software algorithms;Problem-solving;Conferences,,4.0,,7.0,IEEE,27 Feb 2020,,,IEEE,IEEE Conferences,4,7
Developing Software Using Agile and Design Thinking Framework,M. S. Mirza; S. Datta,"Software Engineering, University of Houston-Clear Lake, Houston, USA; Software Engineering, University of Houston-Clear Lake, Houston, USA",2020 International Conference on Computational Science and Computational Intelligence (CSCI),23 Jun 2021,2020,,,1819,1823,"There are several software companies that develop several products. Are all of them used? Even after software companies following Agile framework methodology to develop their software's, many software's still fail to meet the requirements and eventually customers end up not using them. This is usually because the software teams fail to completely understand the user requirements. Agile framework and Design Thinking framework can be used together to gain customer empathy and to overcome this problem. This study discusses how Agile framework and Design Thinking supports the same principles and can be used to reduce software development failures. A Flashcard application was developed to validate Agile framework Design Thinking framework. The results are discussed in the validation and result section.",,978-1-7281-7624-6,10.1109/CSCI51800.2020.00335,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458007,Agile framework;Design thinking;software development;communication;prototype,Scientific computing;Customer satisfaction;XML;Companies;Production;Software;C# languages,,,,12.0,IEEE,23 Jun 2021,,,IEEE,IEEE Conferences,4,10
