document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
Analysis and Implementation of Human Control Thinking Process,P. Wang,"School of Computer Science and Engineering, Yantai University, Yantai, China","The Proceedings of the Multiconference on ""Computational Engineering in Systems Applications""",30 Jul 2007,2006,2.0,,2146,2150,"Human control thinking process maybe classified as two kinds which are active control thinking process and passive control thinking process. The control methods and strategy of each control thinking process are discussed in this paper, the storage and mining of control experiences are analyzed. The test results are given in this paper, it is proved that the research content is right and could be used in the process control. It provides the basis for Human-like intelligent control to be used in complex system",,7-302-13922-9,10.1109/CESA.2006.4281993,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281993,Computer Control;Intelligent Control;Human-like Intelligent Control;Human thinking,Humans;Process control;Control systems;Intelligent control;Artificial intelligence;Computational modeling;Computer simulation;Systems engineering and theory;Application software;Computer science,,2.0,,5.0,,30 Jul 2007,,,IEEE,IEEE Conferences,3,3
Learning and Control of Human-Like Thinking Process,P. -j. Wang,"School of Computer Science and Engineering, Yantai University, Yantai, China",2006 International Conference on Machine Learning and Cybernetics,4 Mar 2009,2006,,,850,854,"Human thinking is probably divided into three kinds: iconic imagery thinking, abstract logical thinking and afflatus thinking, but human control thinking process maybe classified as two kinds which are active control thinking process and passive control thinking process. The control methods and strategy of each control thinking process are discussed in this paper. The test results are given in this paper, it is proved that the research content is right and could be used in the process control. It provides the basis for human-like intelligent control to be used in complex system",2160-1348,1-4244-0061-9,10.1109/ICMLC.2006.258484,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4028181,Learning;Intelligent Control;Human-like Intelligent Control;Human thinking,Humans;Process control;Control systems;Intelligent control;Artificial intelligence;Computational modeling;Computer simulation;Computer science;Electronic mail;Testing,,4.0,,8.0,IEEE,4 Mar 2009,,,IEEE,IEEE Conferences,3,3
"Critical Review of AI-Driven Human Research Intelligence: Integrating 3C Theory of Cognition, Emotion, and Thinking in Human-AI Interaction",F. Xiong; X. Yu; H. W. Leong,"Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Department of Computer Science, National University of Singapore, Singapore",2024 International Conference on Intelligent Education and Intelligent Research (IEIR),14 Apr 2025,2024,,,1,6,"This paper offers a short summary and critical review of the forthcoming book ""AI-Driven Research Intelligence: Integrating 3C Theory from Foundational Abilities to Advanced Research Thinking"". The rapid development of artificial intelligence (AI) technology has transformed scientific research, prompting the need for theories on human-AI collaboration. This book introduces the 3C Theory, which integrates AI with human cognition, emotion, and research thinking (critical thinking, creative thinking, and computational thinking). Within the 3C theoretical model, AI not only as a research tool but as an enhancer of human cognitive abilities, emotional regulation, and research thinking. By comparing 3C Theory with existing models, the book highlights its potential to transform research processes and support the design of intelligent Human-AI research systems. Additionally, this paper explores the prospects of intelligent research system design, proposing new avenues for research innovation through interdisciplinary collaboration and Human-AI interaction.",,979-8-3315-1982-7,10.1109/IEIR62538.2024.10959988,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10959988,AI-Driven research;research thinking;3C Theory;human-AI interaction;intelligent research system,Technological innovation;Reviews;Computational modeling;Education;Collaboration;Transforms;Solids;Cognition;Artificial intelligence;System analysis and design,,,,40.0,IEEE,14 Apr 2025,,,IEEE,IEEE Conferences,3,3
The Psychology of Thinking in Creating AI,P. Saariluoma; A. Karvonen,"Faculty of Information Technology, Cognitive Science University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, Cognitive Science University of Jyväskylä, Jyväskylä, Finland","2021 IEEE 4th International Conference on Computing, Power and Communication Technologies (GUCON)",2 Nov 2021,2021,,,1,6,"The broad-scale emergence of AI in industry calls forth basic questions in terms of the knowledge bases and approaches relevant for its design. Engineering design has been mainly developed for electromechanical artifacts. In practice, this has meant that the scientific knowledge required for creating technical artifacts such as engines, cars, ships, cranes, telephones, radios, TVs, and simple data processing units has been natural science. However, one cannot find intelligent processes by means of physics and chemistry. Natural scientific phenomena follow their deterministic laws, but intelligence is based on selection and decision processes. The conceptual landscape of natural science is optimized for different kinds of phenomena than intelligent information processing. Consequently, the basic research under technology design should be rethought in light of the emergence of AI. To grasp intelligent information processing, we need concepts and approaches suited for the task. To create intelligent technologies on this basis, we need concepts and approaches that afford the operationalization of such information in artificial systems. We suggest that psychology of thinking and cognitive modeling provide a logical basis for future AI design.",,978-1-7281-9951-1,10.1109/GUCON50781.2021.9573882,Business Finland; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9573882,AI;Artificial Intelligence;Psychology of Thinking;Design Methods;Cognitive Models;Engineering Design;Computer Science,Industries;TV;Computational modeling;Knowledge based systems;Psychology;Information processing;Telephone sets,,1.0,,27.0,IEEE,2 Nov 2021,,,IEEE,IEEE Conferences,3,3
A Computational System of Psycholinguistic Fuzzy Inference Under Uncertainty,B. Khayut; L. Fabri; M. Avikhana,"Intelligent Decisions Technologies, Systems at IDTS, Ashdod, Israel; Intelligent Decisions Technologies, Systems at IDTS, Ashdod, Israel; Intelligent Decisions Technologies, Systems at IDTS, Ashdod, Israel",2022 International Conference on INnovations in Intelligent SysTems and Applications (INISTA),23 Sep 2022,2022,,,1,6,"The modern intelligent systems of the Narrow Artificial Intelligence (NAI) cannot independently and continuously think, reason, cognize, and carry out a Logical Inference, based on these computational reasonable functions under: a) uncertainty, b) time changing of the situations and objects of surrounding environment, and c) without using of the human's intellect for retrain (reprogramming) these systems. For a solution of these NAI's problem and in order to create a new reasonable generation of Artificial Intelligence Fuzzy Logic Inference Subsystem (AIFLIS), in this paper is proposed the conception, model, method and subsystem for modeling of the Computational Psycholinguistic and Cognitive Fuzzy Inference in the identified Subject Domain by implementation of the following Computational Brain's computational subsystems: a) identification and preprocessing of the psycholinguistic, lingual, sound, signal. and other meanings of objects, associated with the images of the subject area, and b) situational fuzzy control of computational memory, decision-making, reasoning, thinking, consciousness, awareness, cognition, intuition, wisdom, and others. To implement of the AIFLIS functionality, have been applied the Situational Control, Fuzzy Logic, Psycholinguistics, Data Science, and Informatics.",2768-7295,978-1-6654-9810-4,10.1109/INISTA55318.2022.9894239,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9894239,computational brain;psycholinguistic;situational fuzzy control;reasonable fuzzy inference;uncertainty,Fuzzy logic;Technological innovation;Uncertainty;Computational modeling;Data science;Brain modeling;Cognition,,1.0,,18.0,IEEE,23 Sep 2022,,,IEEE,IEEE Conferences,3,2
Review of biomedical applications of computational intelligence,Y. Shi; R. Eberhart,"Department of Electrical Engineering, Purdue School of Engineering and Technology, Indianapolis, IN, USA; Department of Electrical Engineering, Purdue School of Engineering and Technology, Indianapolis, IN, USA",Proceedings of the 20th Annual International Conference of the IEEE Engineering in Medicine and Biology Society. Vol.20 Biomedical Engineering Towards the Year 2000 and Beyond (Cat. No.98CH36286),6 Aug 2002,1998,3.0,,1116,1120 vol.3,"Computational intelligence consists of artificial neural networks, evolutionary computation, fuzzy logic systems and the combination of these three components with each other and/or with other traditional approaches. In the past several years, there has been a phenomenal growth in the research and development of technology of computational intelligence. Computational intelligence has found applications in many areas; among them biomedical engineering has evolved into one of the major application areas of computational intelligence. In this paper, we give a brief review of biomedical applications of computational intelligence.",1094-687X,0-7803-5164-9,10.1109/IEMBS.1998.747067,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=747067,,Computational intelligence;Artificial neural networks;Fuzzy logic;Evolutionary computation;Biological neural networks;Neural networks;Feedforward neural networks;Fuzzy systems;Biomedical engineering;Research and development,,,,33.0,IEEE,6 Aug 2002,,,IEEE,IEEE Conferences,3,4
Neuromodulating Cognitive Architecture: Towards Biomimetic Emotional AI,M. Talanov; J. Vallverdú; S. Distefano; M. Mazzara; R. Delhibabu,"Kazan Federal University, Russia; Universitat Autìnoma de Barcelona, Catalonia; Politecnico di Milano, Italy; Innopolis University, Russia; Kazan Federal University, Russia",2015 IEEE 29th International Conference on Advanced Information Networking and Applications,30 Apr 2015,2015,,,587,592,"This paper introduces a new model of artificial cognitive architecture for intelligent systems, the Neuromodulating Cognitive Architecture (NEUCOGAR). The model is bio mimetically inspired and adapts the neuromodulators role of human brains into computational environments. This way we aim at achieving more efficient Artificial Intelligence solutions based on the biological inspiration of the deep functioning of human brain, which is highly emotional. The analysis of new data obtained from neurology, psychology philosophy and anthropology allows us to generate a mapping of monoamine neuro modulators and to apply it to computational system parameters. Artificial cognitive systems can then better perform complex tasks (regarding information selection and discrimination, attention, innovation, creativity) as well as engaging in affordable emotional relationships with human users.",2332-5658,978-1-4799-7905-9,10.1109/AINA.2015.240,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7098025,AI;Affective Computing;Cognitive Modeling;Computing Emotions;Machine Thinking;Emotional Thinking;Neuromodulation;Neurotransmission,Computational modeling;Decision making;Computer architecture;Artificial intelligence;Cognition;Psychology;Neurotransmitters,,16.0,,21.0,IEEE,30 Apr 2015,,,IEEE,IEEE Conferences,3,3
Deep reasoning and thinking beyond deep learning by cognitive robots and brain-inspired systems,Y. Wang,"Dept. of Electrical Engineering, Stanford University, Stanford, CA, USA",2016 IEEE 15th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),23 Feb 2017,2016,,,3,3,"Summary form only given. Recent basic studies reveal that AI problems are deeply rooted in both the understanding of the natural intelligence and the adoption of suitable mathematical means for rigorously modeling the brain in machine understandable forms. Learning is a cognitive process of knowledge and behavior acquisition. Learning can be classified into five categories known as object identification, cluster classification, functional regression, behavior generation, and knowledge acquisition. A fundamental challenge to knowledge learning different from the deep and recurring neural network technologies has led to the emergence of the field of cognitive machine learning on the basis of recent breakthroughs in denotational mathematics and mathematical engineering. This keynote lecture presents latest advances in formal brain studies and cognitive systems for deep reasoning and deep learning. It is recognized that key technologies enabling cognitive robots mimicking the brain rely not only on deep learning, but also on deep reasoning and thinking towards machinable thoughts and cognitive knowledge bases built by a cognitive systems. A fundamental theory and novel technology for implementing deep thinking robots are demonstrated based on concept algebra, semantics algebra, and inference algebra.",,978-1-5090-3846-6,10.1109/ICCI-CC.2016.7862095,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862095,Cognitive informatics;cognitive computers;cognitive robotics;brain-inspired systems;deep learning;deep reasoning;deep thinking;knowledge learning;denotational mathematics;mathematical engineering,,,23.0,,,IEEE,23 Feb 2017,,,IEEE,IEEE Conferences,3,3
AI-Driven Green Computing for 6G Network: Improve User Experience and Security,R. K. Yadav; A. Harinaiha,"Maharishi School of Engineering & Technology, Maharishi University of Information Technology, Uttar Pradesh, India; Department of Mechanical Engineering, Faculty of Engineering and Technology, JAIN (Deemed-to-be University), Ramnagar District, Karnataka, India","2025 First International Conference on Advances in Computer Science, Electrical, Electronics, and Communication Technologies (CE2CT)",2 Apr 2025,2025,,,481,485,"A dynamic Computational Thinking resolution can be likely in a 6G environment by way of Green-IoT and Artificial Intelligence (AI), important parts of computational thinking. This order requires lowering difficult problems to tinier, more controllable parts and recognizing patterns and friendships at intervals in miscellaneous parts. Machine intelligence approaches concentrate on algorithms capable of learning from data, making judgments and predictions, and executing complex tasks beyond explicit programming. To appreciate the far-reaching quantities of data presented by 6G-connected schemes, computational inference and machine intelligence can be used for the Green-IoT. This has the potential to reinforce the computerization of many processes and bring about a smarter and more efficient use of possessions. Computational thinking that combines Green-IoT, AI, and 6G sciences can transform many areas, including education, and reinforce society's lives through the production of brisker, more adept, and more tailor-made uses and services. The research has been started by outlining key limits utilizing Green-IoT-authorized sensor electronics in the framework of 5G and 6G surroundings, as well as Artificial Intelligence, in this place study's review on computational thinking. In the subsequent section, delineate the fundamental structural requirements for a digital thinking paradigm centered on artificial intelligence and the Net of Things, significant aspects of prospective beneficial applications, and evaluate the advantages and disadvantages of each within the context of shared resources. Lastly, several security risks to an AI-based architecture that might compromise the system's ability to provide the computational thinking services that social media platforms need",,979-8-3315-1857-8,10.1109/CE2CT64011.2025.10941629,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10941629,Artificial Intelligence;Green-lOT;6G;Internet of Things;Computational,6G mobile communication;Social networking (online);Green products;Transforms;User experience;Security;Internet of Things;Artificial intelligence;Programming profession;Machine intelligence,,,,25.0,IEEE,2 Apr 2025,,,IEEE,IEEE Conferences,3,4
Machine Thinking for Telehealth – Toward the Next Generation of Healthcare,A. C. M. Fong; M. Usman,"Department of Computer Science, Western Michigan University, Kalamazoo, MI, USA; Department of Computer Science, SZABIST, Islamabad, Pakistan",2020 IEEE 2nd International Workshop on System Biology and Biomedical Systems (SBBS),12 Jan 2021,2020,,,1,3,"The revival of artificial intelligence (AI) a few years ago has often been attributed to the success of machine learning (ML), especially the branch of ML known as deep learning (DL). Since the introduction of workable DL, numerous success stories have been widely reported: board games, autonomous driving vehicles, natural language translation, voice recognition, etc. However, for machines to exhibit a high degree of intelligence, they need more than the ability to learn. Indeed, heavy reliance on ML has resulted in widely publicized mishaps that negatively affect people in unexpected ways. For healthcare and other mission-critical applications, intelligent machines need to perform dependably to earn and maintain the trust of human users. To this end, it is necessary to take a holistic view toward AI, one that encompasses multiple facets of what constitutes intelligence. Specifically, this paper previews what thinking machines would be capable of by taking into consideration a machine's ability to abstract and reason, in addition to its ability to learn.",,978-1-6654-0460-0,10.1109/SBBS50483.2020.9314935,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314935,artificial intelligence;knowledge representation;machine intelligence;machine learning;machine thinking;reasoning system;semantic computing;telehealth,Artificial intelligence;Task analysis;Medical services;Intelligent agents;Software algorithms;Prediction algorithms;Games,,,,14.0,IEEE,12 Jan 2021,,,IEEE,IEEE Conferences,3,3
