document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
"On Computational Tools, Computational Thinking and Computational Methods",X. Zhang; H. Zou,"Sch. of Comput. Sci. & Technol., Ludong Univ., Yantai; Sch. of Comput. Sci. & Technol., Ludong Univ., Yantai",2009 First International Workshop on Education Technology and Computer Science,26 May 2009,2009,1.0,,503,507,"The appearance and innovation of computational tools depends on human thinking and initiative, and on the other hand, human thinking is affected by computational tools. The strong function of computational tools in some aspect is superior to that of human brains. It is the application of such strong function that changes the face of human society. At the same time, it presents new methods for scientific research and new perspective for solving problems, promotes human thinking to a higher level, and presents new means for people to understand and change the world. The advantage of computational tools over human brains is the speed, while the initiative ability of human brains is not owned by computational tools. Perfect combination of thinking and computing gives birth to a series of achievements, and lays the foundation of science.",,978-1-4244-3581-4,10.1109/ETCS.2009.120,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4958823,computational tools;computational thinking;computational methods,Humans;Computer science;Biology computing;Computer science education;Educational technology;Technological innovation;History;Evolution (biology);Computational intelligence;Face,,3.0,,6.0,IEEE,26 May 2009,,,IEEE,IEEE Conferences,4,9
"Integrating Mathematical Thinking, Abstract Thinking, and Computational Thinking",K. McMaster; B. Rague; N. Anderson,"Saint Mary''s College of Maryland, USA; Weber State University, USA; Winona State University, USA",2010 IEEE Frontiers in Education Conference (FIE),23 Dec 2010,2010,,,S3G-1,S3G-6,"In recent years, several groups of Computer Science educators have made a sustained effort to capture the essence of CS apart from programming. Three of these approaches are Mathematical Thinking, Abstract Thinking, and Computational Thinking. Each approach tries to clarify areas of CS that are not directly tied to writing computer programs. In a separate line of research, the current authors have been examining different ways to teach mathematics to CS students. We developed a Computational Math scale that measures the level of problem-solving gestalt exhibited by textbook authors. In this study, we relate our Computational Math framework to current research on Mathematical, Abstract, and Computational (MAC) Thinking. We counted words used frequently in research articles and compared them to words that form the Computational Math scale. Our results suggest an overall MAC Thinking framework that integrates a wide range of topics relevant to computing and programming.",2377-634X,978-1-4244-6262-9,10.1109/FIE.2010.5673139,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5673139,Abstraction;Algorithm;Computational Math;Model;Thinking,Computers;Computational modeling;Programming profession;Books;Mathematical model,,10.0,,25.0,IEEE,23 Dec 2010,,,IEEE,IEEE Conferences,6,9
Construction and Application of a Computational Thinking Assessment Framework from the Perspective of the Iceberg Model,X. Zhou; W. Zhang; S. Wang; H. Chen,"Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; School of Information Technology Application Innovation, Wuhan polytechnic, Wuhan, China",2023 5th International Workshop on Artificial Intelligence and Education (WAIE),18 Apr 2024,2023,,,96,100,"Computational thinking assessment is an important part of testing the effectiveness of computational thinking cultivation. However, the existing computational thinking assessments still suffer from the problem of insufficient examination of non-cognitive factors, leading to the lack of validity of its assessment results. Since the iceberg model can comprehensively and deeply explore individual characteristics, this paper draws on the division idea of the model and divides computational thinking into explicit computational thinking the basic knowledge required to solve problems using computational thinking and implicit computational thinking the internal psychological characteristics of individuals in the process of using computational thinking. A comprehensive assessment framework of computational thinking is constructed, which contains five dimensions: knowledge and skills, self-efficacy, internet attitude, learning motivation, and thinking style. Finally, its application in the hierarchical teaching of computational thinking and suggestions for personalized teaching programs are given in order to promote the development of personalized education in computational thinking.",,979-8-3503-0706-1,10.1109/WAIE60568.2023.00025,National Natural Science Foundation of China(grant numbers:61977031); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496944,computational thinking;computational thinking assessment;iceberg model;assessment framework;computational thinking education,Computational modeling;Conferences;Education;Psychology;Icebergs;Artificial intelligence;Testing,,,,15.0,IEEE,18 Apr 2024,,,IEEE,IEEE Conferences,8,9
Computational Thinking Education: Who Let the Dog Out?,S. Swaid; T. Suid,"Department of Computer Science, Philander Smith College, Little Rock, AR; Department of Computer Science, University of Arkansas at Little Rock, Little Rock, AR",2019 International Conference on Computational Science and Computational Intelligence (CSCI),20 Apr 2020,2019,,,788,792,"Today, Computational Thinking is seen as an important competency and the fourth skill that every child should process. Several significant attempts have been made to increase a student's exposure to Computational Thinking at the K-12 level, however the process is complex and requires systematic planning and comprehensive curriculum. In this paper, we describe the STEPP-UP program that aims to introduce middle schoolers to Computational Thinking via Scratch and Java coding sessions. A comprehensive curriculum and hands-on activities are applied to introduce Computational Thinking for a total of 41 students for a period of five semesters from Fall 2017 until Fall 2019. To assess the learning objectives, we used three methods of evaluation; design-scenarios, paper-assessments, and learner-documentation. Findings indicate that the students have increased knowledge of Computational Thinking and its applications for problem solving.",,978-1-7281-5584-5,10.1109/CSCI49370.2019.00150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071265,"Computational Thinking, K -12, Problem Solving, Java, Scratch Linear Search, Coding Literacy",Java;Programming;Sprites (computer);Tools;Education;Dogs;Computed tomography,,4.0,,19.0,IEEE,20 Apr 2020,,,IEEE,IEEE Conferences,10,9
A pragmatic approach to develop computational thinking skills in novices in Computing Education,M. Philip; V. G. Renumol; R. Gopeekrishnan,"Department of Computer Science and Engineering, Rajagiri School of Engineering and Technology, Kochi, India; Division of Information Technology, Cochin University of Science and Technology, Kochi, India; Dept. of Computer Applications, Saintgits College of Engineering, Kottayam, India","2013 IEEE International Conference in MOOC, Innovation and Technology in Education (MITE)",6 Mar 2014,2013,,,199,204,"Fundamental skills acquired by undergraduate students during their academic, play a crucial role in their career. One such skill is computational thinking (CT), which will help to solve problems algorithmically using computers. Computational thinking will improve their problem solving skills in a non-conventional manner as this leads the student to think in multiple paths to reach the solution. However, it is a challenge in Computing Education to develop student's ability to solve problems in an algorithmic way. The aim of this paper is to introduce a potential and pragmatic approach to develop computational thinking skills in novices.",,978-1-4799-1626-9,10.1109/MITE.2013.6756334,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6756334,computational thinking;algorithm;problem solving;abstraction;computing education,Programming profession;Computers;Computational modeling;Educational institutions;Problem-solving,,8.0,,16.0,IEEE,6 Mar 2014,,,IEEE,IEEE Conferences,5,9
Discussing the Challenges Related to Deployment of Computational Thinking in Brazilian Basic Education,T. Carvalho; D. Andrade; J. Silveira; V. Auler; S. Cavalheiro; M. Aguiar; L. Foss; A. Pernas; R. Reiser,"Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil",2013 2nd Workshop-School on Theoretical Computer Science,27 Mar 2014,2013,,,111,115,Computational thinking aims to employ Computer Science foundations to solve problems in different knowledge areas. This paper describes projects related to computational thinking and starts a discussion on the challenges for implementing computational thinking in primary and secondary education in Brazil.,,978-1-4799-3057-9,10.1109/WEIT.2013.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778575,Computational thinking;Basic education;Informatics in education;Computer-aided learning;Constructive thinking,Educational institutions;Computer science;Games;Proposals;Computers;Google,,4.0,,18.0,IEEE,27 Mar 2014,,,IEEE,IEEE Conferences,10,9
Enhancing Synergy Among Engineering Educators through Computational Thinking,C. A. N. Johnson; M. F. Bin Daud; M. B. Arsat; W. N. Bt. Wan Hussin; E. I. Egba,"Centre for Engineering Education, Niger Delta University, Bayelsa State, Nigeria; Faculty of Mechanical Engineering, Universiti Teknologi Malaysia; Faculty of Education, Universiti Teknologi Malaysia, Johor, Malaysia; Faculty of Mechanical Engineering, Universiti Teknologi Malaysia; Department of Technology and Vocational Education, Ebonyi State University, Abakaliki, Ebonyi State, Nigeria",2017 7th World Engineering Education Forum (WEEF),20 Sep 2018,2017,,,636,641,"Observations have shown the need of adequate collaboration among the engineering educators for effective achievement of its goals. Nevertheless, there have been reports of the inadequate relationship among engineering educators. Consequently, it is vital to develop strategies to boost the synergy among the parties. Computational Thinking (CT) could be a dependable approach. This paper presents ways of ensuring synergy among engineering educators through computational thinking. A questionnaire survey that sought information from the respondents on the ways computational thinking: promotes thinking abilities, reduces personal clashes, and improves decision-making process among the engineering educators was administered to 400 respondents. 348 survey answers were returned, found reliable and used in the data analysis. The analysis revealed that computational thinking plays vital roles in the repositioning of engineering education for solving of novel problems, assurance of mutual respect among educators, and intensive research for renown engineering education with relative contribution index above 0.8. The paper recommends the development of a computational thinking based comprehensive engineering educators' synergy framework as a suggestion for future research.",,978-1-5386-1523-2,10.1109/WEEF.2017.8467140,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8467140,synergy;engineering educators;computational thinking;higher education;engineering discipline,Engineering education;Decision making;Teamwork;Instruments;Computational modeling;Solid modeling,,,,18.0,IEEE,20 Sep 2018,,,IEEE,IEEE Conferences,10,9
Does computational thinking really have an impact on academic performance? A systematic review,P. Zhou; Y. Tang; Y. Zhang; Y. Yu; Y. Li,"Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China",2024 International Symposium on Educational Technology (ISET),26 Sep 2024,2024,,,153,157,"This study is a systematic review of the effects of computational thinking on students’ academic performance from 2006 to 2023. The main purpose of this study is to explore whether computational thinking can promote students’ academic performance and the characteristics of such research. After literature collection and screening from three databases, a total of $\mathbf{2 3}$ articles were included. According to the coding table, the literature was coded in five aspects, including basic information, sample, research, computational thinking and academic performance. Then, the publication trend, research types, effect results, computational thinking measurement and the characteristics of academic achievement evaluation of the impact of computational thinking and academic achievement are reviewed. It is found that computational thinking has a better effect on students’ academic achievement, and finally some suggestions are put forward.",2766-2144,979-8-3503-6141-4,10.1109/ISET61814.2024.00038,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685684,computational thinking;systematic review;academic achievement,Databases;Educational technology;Market research;Encoding,,,,15.0,IEEE,26 Sep 2024,,,IEEE,IEEE Conferences,10,9
Computational Thinking Curriculum for K-12 Education -- A Delphi Survey,H. -C. Chuang; C. -F. Hu; C. -C. Wu; Y. -T. Lin,"Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan; Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan; Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan; Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan",2015 International Conference on Learning and Teaching in Computing and Engineering,18 Jun 2015,2015,,,213,214,"The purpose of this study is to design a computational thinking curriculum standard for K-12 education. The Delphi technique was employed to collect different views and derive consensus from a panel of thirteen experts, including computer scientists, computer science educators, K-12 computer teachers, and industry experts. The first draft of Delphi survey questionnaire, consisting of nine themes (problem solving, problem decomposition, algorithms, data representation, data analysis, modeling and simulation, abstraction, automation, and others) and 60 competence indicators, was developed based on our investigation of the nature of computational thinking. After three rounds of survey and a final round-table discussion, the expert panel derived 49 essential competence indicators (13 for grades K to 6, nine for grades 7 to 9 and 27 of grades 10 to 12) and eight optional competence indicators (one for grades 7 to 9 and seven for grades 10 to 12). According to the results, the core ability and training of computational thinking are different in grades. In grades K to 6, students develop logical thinking and problem solving skills in personal and family life. In grades 7 to 9, students must understand the basic concepts of programming and write basic programs. Finally, in grades 10 to 12, they will use high-level skills to apply the concepts of abstraction, modeling, and structured problem decomposition to solve problems in different fields. The results serve as useful references for developing Taiwan's new K-12 computing curriculum.",,978-1-4799-9967-5,10.1109/LaTiCE.2015.44,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7126261,Computing Curriculum;K-12 education;Computational Thinking;Delphi Survey,Computational modeling;Analytical models;Data models;Computers;Education;Computer science;Standards,,12.0,,4.0,IEEE,18 Jun 2015,,,IEEE,IEEE Conferences,6,9
Trying to Develop and Assess Computational Thinking in Computer Science Unplugged Activities with Gamification,S. A. Triantafyllou; T. Sapounidis; A. Oikonomou,"School of Philosophy and Education, Aristotle University, Thessaloniki, Greece; School of Philosophy and Education, Aristotle University, Thessaloniki, Greece; Department of Education, School of Pedagogical and Technological Education (ASPETE), Greece",2024 32nd National Conference with International Participation (TELECOM),26 Dec 2024,2024,,,1,4,"Developing computational thinking through Computer Science Unplugged activities is a fantastic way to introduce students to the core concepts of computing without the need for programming tools. These activities are interactive, engaging, and help learners build problem-solving and logical reasoning skills. CT in CS Unplugged activities involves evaluating how well the activities promote the core components of CT, which are fundamental skills in algorithmic thinking and problem-solving. This paper tries to contribute to a better understanding of the related field.",2837-5246,979-8-3503-5500-0,10.1109/TELECOM63374.2024.10812249,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812249,computational thinking;computer science unplugged activities;gamification,Taxonomy;Games;Cognition;Telecommunications;Problem-solving;Programming profession,,,,18.0,IEEE,26 Dec 2024,,,IEEE,IEEE Conferences,5,9
